Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^5
4,1,2^(rand^rand),,,,,,
12,1,2^(rand^rand),2,,,,,
20,1,2^(rand^rand),2,,,,,
28,1,2^(rand^rand),2,,,,,
36,1,2^(rand^rand),2,,,,,
44,1,2^(rand^rand),2,,,,,
52,1,2^(rand^rand),2,,,,,
60,1,,2,,,,,
60,,2^(-4^2),,,,,,
60,,2^(-7^2),,,,,,
60,,2^(-5.5^-2),,,,,,
68,,2^(4^-2),,,,,,
68,,2^(7^-2),,,,,,
68,,2^(5.5^2),,,,,,
68,1,2^(-4^2),2,,,,,
69,1,2^(-7^2),2,,,,,
70.5,1,2^(-5.5^-2),2,,,,,
72,1,2^(4^-2),2,,,,,
73,1,2^(7^-2),2,,,,,
74.5,1,2^(5.5^2),2,,,,,
76,1,2^(-4^2),2,,,,,
77,1,2^(-7^2),2,,,,,
78.5,1,2^(-5.5^-2),2,,,,,
80,1,2^(4^-2),2,,,,,
81,1,2^(7^-2),2,,,,,
82.5,1,2^(5.5^2),2,,,,,
84,1,2^(-4^2),2,,,,,
85,1,2^(-7^2),2,,,,,
86.5,1,2^(-5.5^-2),2,,,,,
88,1,2^(4^-2),2,,,,,
89,1,2^(7^-2),2,,,,,
90.5,1,2^(5.5^2),2,,,,,
92,1,2^(-4^2),2,,,,,
93,1,2^(-7^2),2,,,,,
94.5,1,2^(-5.5^-2),2,,,,,
96,1,2^(4^-2),2,,,,,
97,1,2^(7^-2),2,,,,,
98.5,1,2^(5.5^2),2,,,,,
100,1,2^(-4^2),2,,,,,
101,1,2^(-7^2),2,,,,,
102.5,1,2^(-5.5^-2),2,,,,,
104,1,2^(4^-2),2,,,,,
105,1,2^(7^-2),2,,,,,
106.5,1,2^(5.5^2),2,,,,,
108,1,2^(-4^2),2,,,,,
109,1,2^(-7^2),2,,,,,
110.5,1,2^(-5.5^-2),2,,,,,
112,1,2^(4^-2),2,,,,,
113,1,2^(7^-2),2,,,,,
114.5,1,2^(5.5^2),2,,,,,
116,1,2^(-4^2),2,,,,,
117,1,2^(-7^2),2,,,,,
118.5,1,2^(-5.5^-2),2,,,,,
120,1,2^(4^-2),2,,,,,
121,1,2^(7^-2),2,,,,,
