Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,1,1^(rand^rand),,,,,,
4,1,1^(rand^rand),1,,,,,
8,1,1^(rand^rand),1,,,,,
12,1,1^(rand^rand),1,,,,,
16,1,1^(rand^rand),1,,,,,
20,1,1^(rand^rand),1,,,,,
24,1,1^(rand^rand),1,,,,,
28,1,1^(rand^rand),1,,,,,
32,,1^(rand^rand),1,,,,,3^1
34,,1^(rand^rand),1,,,,,3^1
36,,1^(rand^rand),1,,,,,3^1
38,,1^(rand^rand),1,,,,,3^1
40,,1^(rand^rand),1,,,,,3^1
42,,1^(rand^rand),1,,,,,3^1
44,,1^(rand^rand),1,,,,,3^1
46,,1^(rand^rand),1,,,,,3^1
48,,1^(rand^rand),1,,,,,3^1
50,,1^(rand^rand),1,,,,,3^1
52,,1^(rand^rand),1,,,,,3^1
54,,1^(rand^rand),1,,,,,3^1
56,,1^(rand^rand),1,,,,,3^1
58,,1^(rand^rand),1,,,,,3^1
60,,1^(rand^rand),1,,,,,3^1
62,,,1,,,,,3^1
28,,1^(rand^rand),,,,,,
32,1,1^(rand^rand),1,,,,,
34,1,1^(rand^rand),1,,,,,
36,1,1^(rand^rand),1,,,,,
38,1,1^(rand^rand),1,,,,,
40,1,1^(rand^rand),1,,,,,
42,1,1^(rand^rand),1,,,,,
44,1,1^(rand^rand),1,,,,,
46,1,1^(rand^rand),1,,,,,
48,1,1^(rand^rand),1,,,,,
50,1,1^(rand^rand),1,,,,,
52,1,1^(rand^rand),1,,,,,
54,1,1^(rand^rand),1,,,,,
56,1,1^(rand^rand),1,,,,,
58,1,1^(rand^rand),1,,,,,
60,1,1^(rand^rand),1,,,,,
62,1,1^(0^4.5),1,,,,,
62.5,,2^(3^3),,,,,,
63,,1^(4.5^0),,,,,,
64,1,2^(3^-3),1,,,,,
65,1,1^(0^-4.5),2,,,,,3^1
66,1,2^(-3^-3),1,,,,,
67,1,1^(-4.5^0),2,,,,,3^1
68,1,2^(-3^3),1,,,,,
69,1,1^(0^4.5),2,,,,,3^1
70,1,2^(3^3),1,,,,,
71,1,1^(4.5^0),2,,,,,3^1
72,1,2^(3^-3),1,,,,,
73,1,1^(0^-4.5),2,,,,,3^1
74,1,2^(-3^-3),1,,,,,
75,1,1^(-4.5^0),2,,,,,3^1
76,1,2^(-3^3),1,,,,,
77,1,1^(0^4.5),2,,,,,3^1
78,1,2^(3^3),1,,,,,
79,1,1^(4.5^0),2,,,,,3^1
80,1,2^(3^-3),1,,,,,
81,1,1^(0^-4.5),2,,,,,3^1
82,1,2^(-3^-3),1,,,,,
