Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^8
1,,2^(rand^rand),,,,,,
2,,,,,,,,
3,1,2^(rand^rand),2,,,,,
4,,,,,,,,
5,1,2^(rand^rand),2,,,,,
6,,,,,,,,
7,1,2^(rand^rand),2,,,,,
8,,,,,,,,
9,1,2^(rand^rand),2,,,,,
10,,,,,,,,
11,1,2^(rand^rand),2,,,,,
12,,,,,,,,
13,1,2^(rand^rand),2,,,,,
14,,,,,,,,
15,1,2^(rand^rand),2,,,,,
16,,,,,,,,
17,1,2^(rand^rand),2,,,,,
18,,,,,,,,
19,1,2^(rand^rand),2,,,,,
20,,,,,,,,
21,1,2^(rand^rand),2,,,,,
22,,,,,,,,
23,1,2^(rand^rand),2,,,,,
24,,,,,,,,
25,1,2^(rand^rand),2,,,,,
26,,,,,,,,
27,1,2^(rand^rand),2,,,,,
28,,,,,,,,
29,1,2^(rand^rand),2,,,,,
30,,,,,,,,
31,1,2^(rand^rand),2,,,,,
32,,,,,,,,
33,1,2^(rand^rand),2,,,,,
34,,,,,,,,
35,1,2^(rand^rand),2,,,,,
36,,,,,,,,
37,1,2^(rand^rand),2,,,,,
38,,,,,,,,
39,1,2^(rand^rand),2,,,,,
40,,,,,,,,
41,1,2^(rand^rand),2,,,,,
42,,,,,,,,
43,1,2^(rand^rand),2,,,,,
44,,,,,,,,
45,1,2^(rand^rand),2,,,,,
46,,,,,,,,
47,1,2^(rand^rand),2,,,,,
48,,,,,,,,
49,1,2^(rand^rand),2,,,,,
50,,,,,,,,
51,1,2^(rand^rand),2,,,,,
52,,,,,,,,
53,1,2^(rand^rand),2,,,,,
54,,,,,,,,
55,1,2^(rand^rand),2,,,,,
56,,,,,,,,
57,1,2^(rand^rand),2,,,,,
58,,,,,,,,
59,1,2^(rand^rand),2,,,,,
60,,,,,,,,
61,1,2^(rand^rand),2,,,,,
62,,,,,,,,
63,1,,2,,,,,
31,,2^(rand^rand),,,,,,
32,,,,,,,,
33,,2^(rand^rand),2,,,,,
34,,,,,,,,
35,,2^(rand^rand),2,,,,,
36,,,,,,,,
37,,2^(rand^rand),2,,,,,
38,,,,,,,,
39,,2^(rand^rand),2,,,,,
40,,,,,,,,
41,,2^(rand^rand),2,,,,,
42,,,,,,,,
43,,2^(rand^rand),2,,,,,
44,,,,,,,,
45,,2^(rand^rand),2,,,,,
46,,,,,,,,
47,,2^(rand^rand),2,,,,,
48,,,,,,,,
49,,2^(rand^rand),2,,,,,
50,,,,,,,,
51,,2^(rand^rand),2,,,,,
52,,,,,,,,
53,,2^(rand^rand),2,,,,,
54,,,,,,,,
55,,2^(rand^rand),2,,,,,
56,,,,,,,,
57,,2^(rand^rand),2,,,,,
58,,,,,,,,
59,,2^(rand^rand),2,,,,,
60,,,,,,,,
61,,2^(rand^rand),2,,,,,
62,,,,,,,,
63,,,2,,right,,,
64,,,,2^(1.5^0)^62.75,,,,
65,1,2^(9^rand),2,,,,,
67,1,2^(9^rand),2,,,,,
69,1,2^(9^rand),2,,,,,
71,1,2^(9^rand),2,,,,,
73,1,2^(9^rand),2,,,,,
75,1,2^(9^rand),2,,,,,
77,1,2^(9^rand),2,,,,,
79,1,2^(9^rand),2,,,,,
81,1,2^(9^rand),2,,,,,
83,1,2^(9^rand),2,,,,,
85,1,2^(9^rand),2,,,,,
87,1,2^(9^rand),2,,,,,
89,1,2^(9^rand),2,,,,,
91,1,2^(9^rand),2,,,,,
93,1,2^(9^rand),2,,,,,
95,1,2^(9^rand),2,,,,,
95,,2^(9^rand),,,,,,
96,,2^(9^rand),,,,,,
97,,2^(9^rand),2,,,,,
98,,2^(9^rand),2,,,,,
99,,2^(9^rand),2,,,,,
100,,2^(9^rand),2,,,,,
101,,2^(9^rand),2,,,,,
102,,2^(9^rand),2,,,,,
103,,2^(9^rand),2,,,,,
104,,2^(9^rand),2,,,,,
105,,2^(9^rand),2,,,,,
106,,2^(9^rand),2,,,,,
107,,2^(9^rand),2,,,,,
108,,2^(9^rand),2,,,,,
109,,2^(9^rand),2,,,,,
110,,2^(9^rand),2,,,,,
111,,2^(9^rand),2,,,,,
112,,2^(9^rand),2,,,,,
113,,2^(9^rand),2,,,,,
114,,2^(9^rand),2,,,,,
115,,2^(9^rand),2,,,,,
116,,2^(9^rand),2,,,,,
117,,2^(9^rand),2,,,,,
118,,2^(9^rand),2,,,,,
119,,2^(9^rand),2,,,,,
120,,2^(9^rand),2,,,,,
121,,2^(9^rand),2,,,,,
122,,2^(9^rand),2,,,,,
123,,2^(9^rand),2,,,,,
124,,2^(9^rand),2,,,,,
125,,2^(9^rand),2,,,,,
126,,2^(9^rand),2,,,,,
127,,2^(9^rand),2,,,,,
96,1,2^(10^rand),,,,,,
97,1,2^(10^rand),2,,,,,
98,1,2^(10^rand),2,,,,,
99,1,2^(10^rand),2,,,,,
100,1,2^(10^rand),2,,,,,
101,1,2^(10^rand),2,,,,,
102,1,2^(10^rand),2,,,,,
103,1,2^(10^rand),2,,,,,
104,1,2^(10^rand),2,,,,,
105,1,2^(10^rand),2,,,,,
106,1,2^(10^rand),2,,,,,
107,1,2^(10^rand),2,,,,,
108,1,2^(10^rand),2,,,,,
109,1,2^(10^rand),2,,,,,
110,1,2^(10^rand),2,,,,,
111,1,2^(10^rand),2,,,,,
112,1,2^(10^rand),2,,,,,
113,1,2^(10^rand),2,,,,,
114,1,2^(10^rand),2,,,,,
115,1,2^(10^rand),2,,,,,
116,1,2^(10^rand),2,,,,,
117,1,2^(10^rand),2,,,,,
118,1,2^(10^rand),2,,,,,
119,1,2^(10^rand),2,,,,,
120,1,2^(10^rand),2,,,,,
121,1,2^(10^rand),2,,,,,
122,1,2^(10^rand),2,,,,,
123,1,2^(10^rand),2,,,,,
124,1,2^(10^rand),2,,,,,
125,1,2^(16^rand),2,,,,,
126,1,,2,,,,,
127,1,,2,,right,,,
128,1,2^(16^rand),2,1^(3^0)^0.25,,,,
129,1,2^(16^rand),2,1^(3^0)^0.25,,,,
130,1,2^(16^rand),2,1^(3^0)^0.25,,,,
131,1,2^(16^rand),2,1^(3^0)^0.25,,,,
132,1,2^(16^rand),2,1^(3^0)^0.25,,,,
133,1,2^(16^rand),2,1^(3^0)^0.25,,,,
134,1,2^(16^rand),2,1^(3^0)^0.25,,,,
135,1,2^(16^rand),2,1^(3^0)^0.25,,,,
136,1,2^(16^rand),2,1^(3^0)^0.25,,,,
137,1,2^(16^rand),2,1^(3^0)^0.25,,,,
138,1,2^(16^rand),2,1^(3^0)^0.25,,,,
139,1,2^(16^rand),2,1^(3^0)^0.25,,,,
140,1,2^(16^rand),2,1^(3^0)^0.25,,,,
141,1,2^(16^rand),2,1^(3^0)^0.25,,,,
142,1,2^(16^rand),2,1^(3^0)^0.25,,,,
143,1,2^(16^rand),2,1^(3^0)^0.25,,,,
144,1,2^(16^rand),2,1^(3^0)^0.25,,,,
145,1,2^(16^rand),2,1^(3^0)^0.25,,,,
146,1,2^(16^rand),2,1^(3^0)^0.25,,,,
147,1,2^(16^rand),2,1^(3^0)^0.25,,,,
148,1,2^(16^rand),2,1^(3^0)^0.25,,,,
149,1,2^(16^rand),2,1^(3^0)^0.25,,,,
150,1,2^(16^rand),2,1^(3^0)^0.25,,,,
151,1,2^(16^rand),2,1^(3^0)^0.25,,,,
152,1,2^(16^rand),2,1^(3^0)^0.25,,,,
153,1,2^(16^rand),2,1^(3^0)^0.25,,,,
154,1,,2,1^(3^0)^0.25,,,,
155,1,,2,1^(3^0)^0.25,,,,
142,,2^(16^rand),,,,,,
143,,2^(16^rand),,,,,,
144,,2^(16^rand),2,,,,,
145,,2^(16^rand),2,,,,,
146,,2^(16^rand),2,,,,,
147,,2^(16^rand),2,,,,,
148,,2^(16^rand),2,,,,,
149,,2^(16^rand),2,,,,,
150,,2^(16^rand),2,,,,,
151,,2^(16^rand),2,,,,,
152,,2^(16^rand),2,,,,,
153,,2^(16^rand),2,,,,,
154,,,2,,,,,
155,,,2,,,,,
156,1,,,,,,,
158,,2^(-3^-3),,,,,,
159,,2^(3^-3),,,,,,
160,1,2^(3^3),2,,,,,
161,,2^(-3^3),,,,,,
161.25,1,,2,,,,,
162,1,2^(-3^-3),2,,,,,
163,1,,2,,,,,
164,1,,2,,,,,
166,,2^(-3^-3),,,,,,
167,1,2^(3^-3),,,,,,
168,1,2^(3^3),2,,,,,
169,,2^(-3^3),,,,,,
169.25,1,,2,,,,,
170,1,2^(-3^-3),2,,,,,
171.25,1,,2,,,,,
172,1,,2,,,,,
174,,2^(-3^-3),,,,,,
175,1,2^(3^-3),,,,,,
176,1,2^(3^3),2,,,,,
177,,2^(-3^3),,,,,,
177.25,1,,2,,,,,
178,1,2^(-3^-3),2,,,,,
179,1,,2,,,,,
180,1,,2,,,,,
182,,2^(-3^-3),,,,,,
183,1,2^(3^-3),,,,,,
184,1,2^(3^3),2,,,,,
185,,2^(-3^3),,,,,,
185.25,1,,2,,,,,
186,1,2^(-3^-3),2,,,,,
187.25,1,,2,,,,,
188,1,,2,,,,,
190,,,,,,,,
191,1,,,,,,,
192,1,,,,,,,4^1^(6^0)^(-9^2.5)
193,,,,,,,,
193.25,1,,,,,,,
194,1,,,,,,,4^1^(0^-6)^(-4^6)
195,1,,,,,,,4^1^(0^6)^(4^-6)
196,1,,,,,,,4^1^(-6^0)^(9^-2.5)
198,,,,,,,,
199,1,,,,,,,
200,1,,,,,,,4^1^(0^-6)^(-4^6)
201,,,,,,,,
201.25,1,,,,,,,
202,1,,,,,,,4^1^(0^6)^(4^-6)
203,1,,,,,,,4^1^(-6^0)^(9^-2.5)
204,1,,,,,,,4^1^(6^0)^(-9^2.5)
206,,,,,,,,
207,1,,,,,,,
208,1,,,,,,,4^1^(0^6)^(4^-6)
209,,,,,,,,
209.25,1,,,,,,,
