Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,1^(rand^rand),,,,,,
4,1,1^(rand^rand),1,,,,,
8,1,1^(rand^rand),1,,,,,
12,1,1^(rand^rand),1,,,,,
16,1,1^(rand^rand),1,,reverseclockwise,,,
20,1,1^(rand^rand),1,4^16^2^0,,,,
24,1,1^(rand^rand),1,,,,,
28,1,1^(rand^rand),1,,,,,
32,1,,1,,,,,
34,,2^(0^4.5),,,clockwise,,,
35,,,,,,,,
36,1,2^(0^4.5),,4^16^10^1,,,,
37,1,,2,,,,,
38,1,2^(0^4.5),,,,,,
39,1,,2,,,,,
40,1,2^(0^4.5),,,,,,
41,1,,2,,,,,
42,1,2^(0^4.5),,,,,,
43,1,,2,,,,,
44,1,2^(0^4.5),,,,,,
45,1,,2,,,,,
46,1,2^(0^4.5),,,,,,
47,1,,2,,,,,
48,1,2^(0^4.5),,,,,,
49,1,,2,,,,,
50,1,2^(0^4.5),,,reverseclockwise,,,
51,1,,2,,,,,
52,1,2^(0^4.5),,4^16^10^0,,,,
53,1,,2,,,,,
54,1,2^(0^4.5),,,,,,
55,1,,2,,,,,
56,1,2^(0^4.5),,,,,,
57,1,,2,,,,,
58,1,2^(0^4.5),,,,,,
59,1,,2,,,,,
60,1,2^(0^4.5),,,,,,
61,1,,2,,,,,
62,1,,,,,,,
63,1,,2,,,,,
64,1,,,,,,,
65,1,1^(0^4.5),,,,,,
66,1,2^(0^4.5),,,clockwise,,,
67,1,1^(4.5^0),,,,,,
68,1,2^(4.5^0),1,4^16^6^1,,,,
69,1,1^(0^-4.5),2,,,,,
70,1,2^(0^-4.5),1,,,,,
71,1,1^(-4.5^0),2,,,,,
72,1,2^(-4.5^0),1,,,,,
73,1,1^(0^4.5),2,,,,,
74,1,2^(0^4.5),1,,,,,
75,1,1^(4.5^0),2,,,,,
76,1,2^(4.5^0),1,,,,,
77,1,1^(0^-4.5),2,,,,,
78,1,2^(0^-4.5),1,,,,,
79,1,1^(-4.5^0),2,,,,,
80,1,2^(-4.5^0),1,,,,,
81,1,1^(0^4.5),2,,,,,
82,1,2^(0^4.5),1,,reverseclockwise,,,
83,1,1^(4.5^0),2,,,,,
84,1,2^(4.5^0),1,4^16^6^0,,,,
85,1,1^(0^-4.5),2,,,,,
86,1,2^(0^-4.5),1,,,,,
87,1,1^(-4.5^0),2,,,,,
88,1,2^(-4.5^0),1,,,,,
89,1,1^(0^4.5),2,,,,,
90,1,2^(0^4.5),1,,,,,
91,1,1^(4.5^0),2,,,,,
92,1,2^(4.5^0),1,,,,,
93,1,1^(0^-4.5),2,,,,,
94,1,2^(0^-4.5),1,,,,,
95,1,1^(-4.5^0),2,,,,,
96,1,2^(-4.5^0),1,,,,,
97,1,1^(0^4.5),2,,,,,
98,1,2^(0^4.5),1,,clockwise,,,
99,1,1^(4.5^0),2,,,,,
100,1,2^(4.5^0),1,4^16^6^1,,,,
101,1,1^(0^-4.5),2,,,,,
102,1,2^(0^-4.5),1,,,,,
