Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,2^(rand^rand),,,,,,0^0^6
4.5,1,2^(rand^rand),2,,,,,
8,1,2^(rand^rand),2,,,,,
12.5,1,2^(rand^rand),2,,,,,
16,1,2^(rand^rand),2,,,,,
20.5,1,2^(rand^rand),2,,,,,
24,1,2^(rand^rand),2,,,,,
28.5,1,2^(rand^rand),2,,,,,
32,1,2^(rand^rand),2,,,,,
36.5,1,2^(rand^rand),2,,,,,
40,1,2^(rand^rand),2,,,,,
44.5,1,2^(rand^rand),2,,,,,
48,1,2^(rand^rand),2,,,,,
52.5,1,2^(rand^rand),2,,,,,
56,1,2^(rand^rand),2,,,,,
60.5,1,,2,,down,,,
64,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
66,1,,2,1^(0^-3)^0.5,,,,
68,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
70,1,,2,1^(0^-3)^0.5,,,,
72,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
74,1,,2,1^(0^-3)^0.5,,,,
76,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
78,1,,2,1^(0^-3)^0.5,,,,
80,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
82,1,,2,1^(0^-3)^0.5,,,,
84,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
86,1,,2,1^(0^-3)^0.5,,,,
88,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
90,1,,2,1^(0^-3)^0.5,,,,
92,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
94,,,,,,,,
94,1,,2,1^(0^-3)^0.5,left-down,,,
95,,,,,right-down,,,
96,1,2^(-7^-10),,1^(-1.5^-3)^0.5,,,,
97,1,2^(7^-10),,1^(1.5^-3)^0.5,,,,
98,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
99,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
100,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
101,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
102,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
103,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
104,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
105,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
106,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
107,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
108,1,2^(-7^-10),2,1^(-1.5^-3)^0.5,,,,
109,1,2^(7^-10),2,1^(1.5^-3)^0.5,,,,
110,1,2^(rand^-10),2,1^(-1.5^-3)^0.5,,,,
111,1,2^(rand^-10),2,1^(1.5^-3)^0.5,,,,
112,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
113,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
114,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
115,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
116,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
117,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
118,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
119,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
120,1,2^(rand^-10),2,1^(0^-3)^0.5,,,,
121,1,,2,1^(0^-3)^0.5,,,,
122,1,,2,1^(0^-3)^0.5,,,,
123,1,,2,1^(0^-3)^0.5,,,,
124,,2^(rand^-5),,,,,,
128,1,2^(rand^rand),2,,,,,2^1^1^1
132.5,1,,2,,,,,2^1^0^0
136,1,,,,,,,2^1^1^1
136.75,1,,,,,,,2^1^0^0
137.5,1,2^(rand^rand),,,,,,2^1^1^1
140.5,1,2^(rand^rand),2,,,,,2^1^0^0
144,1,2^(rand^rand),2,,,,,2^1^1^1
148.5,1,,2,,,,,2^1^0^0
152,1,,,,,,,2^1^1^1
152.75,1,,,,,,,2^1^0^0
153.5,1,2^(rand^rand),,,,,,2^1^1^1
156.5,1,2^(rand^rand),2,,,,,2^1^0^0
160,1,2^(rand^rand),2,,,,,2^1^1^1
164.5,1,,2,,,,,2^1^0^0
168,1,,,,,,,2^1^1^1
168.75,1,,,,,,,2^1^0^0
169.5,1,2^(rand^rand),,,,,,2^1^1^1
172.5,1,2^(rand^rand),2,,,,,2^1^0^0
176,1,2^(rand^rand),2,,,,,2^1^1^1
180.5,1,2^(rand^rand),2,,,,,2^1^0^0
184,,2^(rand^rand),,,,,,
184,1,2^(rand^rand),2,,,,,2^1^1^1
185.5,1,,2,,,,,2^1^0^0
187,1,2^(rand^rand),2,,,,,2^1^1^1
192,1,2^(rand^rand),2,,,,,
196.5,1,2^(rand^rand),2,,,,,
200,1,2^(rand^rand),2,,,,,
204.5,1,2^(rand^rand),2,,,,,
208,1,2^(rand^rand),2,,,,,
212.5,1,2^(rand^rand),2,,,,,
216,1,2^(rand^rand),2,,,,,
220.5,1,2^(rand^rand),2,,,,,
224,1,2^(rand^rand),2,,,,,
228.5,1,2^(rand^rand),2,,,,,
232,1,2^(rand^rand),2,,,,,
236.5,1,2^(rand^rand),2,,,,,
240,1,2^(rand^rand),2,,,,,
244.5,1,2^(rand^rand),2,,,,,
248,1,2^(rand^rand),2,,,,,
252.5,1,,2,,down,,,
256,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
258,1,,2,1^(0^-3)^0.5,,,,
260,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
262,1,,2,1^(0^-3)^0.5,,,,
264,1,2^(rand^-7),,1^(0^-3)^0.5,,,,
266,1,,2,1^(0^-3)^0.5,,,,
