Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^9
4,,2^(rand^rand),,,,,,
6,,2^(rand^rand),,,,,,
6,,2^(rand^rand),,,,,,
8,1,2^(rand^rand),2,,,,,
8,,2^(rand^rand),,,,,,
10.5,,,2,,,,,
11.5,,2^(rand^rand),2,,,,,
10.5,1,2^(rand^rand),2,,,,,
11.5,1,2^(rand^rand),2,,,,,
16,1,2^(rand^rand),2,,,,,
16,,2^(rand^rand),,,,,,
18.5,,,2,,,,,
19.5,,2^(rand^rand),2,,,,,
18.5,1,2^(rand^rand),2,,,,,
19.5,1,2^(rand^rand),2,,,,,
24,1,2^(rand^rand),2,,,,,
24,,2^(rand^rand),,,,,,
26.5,,,2,,,,,
27.5,,2^(rand^rand),2,,,,,
26.5,1,2^(rand^rand),2,,,,,
27.5,1,2^(rand^rand),2,,,,,
32,1,2^(rand^rand),2,,,,,
32,,2^(rand^rand),,,,,,
34.5,,,2,,,,,
35.5,,,2,,,,,
34.5,1,,2,,,,,
35.5,1,,2,,,,,
39,,2^(-9^rand),,,left,,,
40,,,,2^(-1.5^0)^29,,,,
41,1,2^(-10^rand),2,,,,,
43,1,2^(-10^rand),2,,,,,
45,1,2^(-10^rand),2,,,,,
47,1,2^(-10^rand),2,,,,,
49,1,2^(-10^rand),2,,,,,
51,1,2^(-10^rand),2,,,,,
53,1,2^(-10^rand),2,,,,,
55,1,2^(-10^rand),2,,,,,
57,1,2^(-10^rand),2,,,,,
59,1,2^(-10^rand),2,,,,,
61,1,2^(-10^rand),2,,,,,
63,1,2^(-10^rand),2,,,,,
65,1,2^(-10^rand),2,,,,,
67,1,2^(-10^rand),2,,,,,
69,1,,2,,,,,
70,,2^(0^4),2,,,,,
70.75,,2^(3.5^3.5),,,,,,
71,,2^(6^0),,,,,,
72,1,2^(3.5^-3.5),2,,,,,
73,1,2^(0^-4),2,,,,,
74,1,2^(-3.5^-3.5),2,,,,,
75,1,2^(-6^0),2,,,,,
76.5,1,2^(-3.5^3.5),2,,,,,
