Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^7
4,,2^(rand^rand),,,,,,
8,1,2^(rand^rand),2,,,,,
9.75,1,2^(rand^rand),2,,,,,
12,1,2^(rand^rand),2,,,,,
13.75,1,2^(rand^rand),2,,,,,
16,1,2^(rand^rand),2,,,,,
17.75,1,2^(rand^rand),2,,,,,
20,1,2^(rand^rand),2,,,,,
21.75,1,2^(rand^rand),2,,,,,
24,1,2^(rand^rand),2,,,,,
25.75,1,2^(rand^rand),2,,,,,
28,1,2^(rand^rand),2,,,,,
29.75,1,2^(rand^rand),2,,,,,
32,1,2^(rand^rand),2,,,,,
33.75,1,2^(rand^rand),2,,,,,
36,1,2^(rand^rand),2,,,,,
37.75,1,,2,,right,,,
40,,,,2^(1.5^0)^32,,,,
41,1,2^(8^rand),,,,,,
43,1,2^(8^rand),2,,,,,
45,1,2^(8^rand),2,,,,,
47,1,2^(8^rand),2,,,,,
49,1,2^(8^rand),2,,,,,
51,1,2^(8^rand),2,,,,,
53,1,2^(8^rand),2,,,,,
55,1,2^(8^rand),2,,,,,
57,1,2^(8^rand),2,,,,,
59,1,2^(8^rand),2,,,,,
61,1,2^(8^rand),2,,,,,
63,1,2^(8^rand),2,,,,,
65,1,2^(8^rand),2,,,,,
67,1,2^(8^rand),2,,,,,
69,1,2^(8^rand),2,,,,,
71,1,2^(rand^rand),,,,,,
72,1,2^(rand^rand),2,,,,,
73,1,,,,,,,
73.75,1,2^(rand^rand),2,,,,,3^1
76,1,2^(rand^rand),2,,,,,
77,1,,,,,,,
77.75,1,2^(rand^rand),2,,,,,3^1
80,1,2^(rand^rand),2,,,,,
81,1,,,,,,,
81.75,1,2^(rand^rand),2,,,,,3^1
84,1,2^(rand^rand),2,,,,,
85,1,,,,,,,
85.75,1,2^(rand^rand),2,,,,,3^1
88,1,2^(rand^rand),2,,,,,
89,1,,,,,,,
89.75,1,2^(rand^rand),2,,,,,3^1
92,1,2^(rand^rand),2,,,,,
93,1,,,,,,,
93.75,1,2^(rand^rand),2,,,,,3^1
96,1,,2,,,,,
97,1,,,,,,,
97.75,1,,2,,,,,3^1
102,,2^(rand^rand),,,,,,
103,,2^(rand^rand),,,,,,
104,1,2^(rand^rand),2,,,,,3^1
105,1,,,,,,,
105.75,1,2^(rand^rand),2,,,,,3^1
108,1,2^(rand^rand),2,,,,,3^1
109,1,,,,,,,
109.75,1,2^(rand^rand),2,,,,,3^1
112,1,2^(rand^rand),2,,,,,3^1
113,1,,,,,,,
113.75,1,2^(rand^rand),2,,,,,3^1
116,1,2^(rand^rand),2,,,,,3^1
117,1,,,,,,,
117.75,1,2^(rand^rand),2,,,,,3^1
120,1,2^(rand^rand),2,,,,,3^1
121,1,,,,,,,
121.75,1,2^(rand^rand),2,,,,,3^1
124,1,2^(rand^rand),2,,,,,3^1
125,1,,,,,,,
125.75,1,2^(rand^rand),2,,,,,3^1
128,1,2^(rand^rand),2,,,,,3^1
129,1,,,,,,,
129.75,1,2^(rand^rand),2,,,,,3^1
132,1,2^(rand^rand),2,,,,,3^1
133,1,,,,,,,
133.75,1,2^(rand^rand),2,,,,,3^1
136,1,2^(rand^rand),2,,,,,3^1
137,1,,,,,,,
137.75,1,2^(rand^rand),2,,,,,3^1
140,1,2^(rand^rand),2,,,,,3^1
141,1,,,,,,,
141.75,1,2^(rand^rand),2,,,,,3^1
144,1,2^(rand^rand),2,,,,,3^1
145,1,,,,,,,
145.75,1,2^(rand^rand),2,,,,,3^1
148,1,2^(rand^rand),2,,,,,3^1
149,1,,,,,,,
149.75,1,2^(rand^rand),2,,,,,3^1
152,1,2^(rand^rand),2,,,,,3^1
153,1,,,,,,,
153.75,1,2^(rand^rand),2,,,,,3^1
156,1,2^(rand^rand),2,,,,,3^1
157,1,,,,,,,
157.75,1,2^(rand^rand),2,,,,,3^1
160,1,2^(rand^rand),2,,,,,3^1
161,1,,,,,,,
161.75,1,2^(rand^rand),2,,,,,3^1
164,1,,2,,,,,3^1
165,1,,,,,,,
165.75,1,,2,,,,,3^1
168,1,,,,,,,
172,,,,,left,,,
176,,,,2^(-1.5^0)^30,,,,
177,1,2^(-8^rand),,,,,,
179,1,2^(-8^rand),2,,,,,
181,1,2^(-8^rand),2,,,,,
183,1,2^(-8^rand),2,,,,,
185,1,2^(-8^rand),2,,,,,
187,1,2^(-8^rand),2,,,,,
189,1,2^(-8^rand),2,,,,,
191,1,2^(-8^rand),2,,,,,
193,1,2^(-8^rand),2,,,,,
195,1,2^(-8^rand),2,,,,,
197,1,2^(-8^rand),2,,,,,
199,1,2^(-8^rand),2,,,,,
201,1,2^(-8^rand),2,,,,,
203,1,2^(-8^rand),2,,,,,
205,1,,2,,,,,
207,,2^(0^0),,,,,,
208,1,,,,right,,,3^1
209,1,,,,,,,
209.75,1,2^(0^0),2,1^(4^0)^0.75,,,,3^1
212,1,,,,left,,,3^1
213,1,,,,,,,
213.75,1,2^(0^0),2,1^(-4^0)^0.75,,,,3^1
216,1,,,,up,,,3^1
217,1,,,,,,,
217.75,1,2^(0^0),2,1^(0^3)^0.75,,,,3^1
220,1,,,,down,,,3^1
221,1,,,,,,,
221.75,1,2^(0^0),2,1^(0^-3)^0.75,,,,3^1
224,1,,,,right,,,3^1
225,1,,,,,,,
225.75,1,2^(0^0),2,1^(4^0)^0.75,,,,3^1
228,1,,,,left,,,3^1
