Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^0
16,1,,,,,,,
20,1,,,,,,,
24,1,,,,,,,
28,1,,,,,,,
34,1,,,,,,,
38,1,,,,,,,
42,1,,,,,,,
46,1,,,,,,,
50,1,,,,,,,
54,1,,,,,,,
58,1,,,,,,,
62,1,,,,,,,
63,,,,,,,,0^0^1
65,1,2^(rand^rand),,,,,,
67,1,,,,,,,
69,1,,,,,,,
71,1,,2,,,,,
73,1,2^(rand^rand),,,,,,
75,1,,,,,,,
77,1,,,,,,,
79,1,,2,,,,,
81,1,2^(rand^rand),,,,,,
83,1,,,,,,,
85,1,,,,,,,
87,1,,2,,,,,
89,1,2^(rand^rand),,,,,,
91,1,,,,,,,
93,1,,,,,,,
95,1,,2,,,,,
97,1,2^(rand^rand),,,,,,
99,1,,,,,,,
101,1,,,,,,,
103,1,,2,,,,,
105,1,2^(rand^rand),,,,,,
107,1,,,,,,,
109,1,,,,,,,
111,1,,2,,,,,
113,1,2^(rand^rand),,,,,,
115,1,,,,,,,
117,1,,,,,,,
119,1,,2,,,,,
121,1,2^(rand^rand),,,,,,
123,1,,,,,,,
125,1,,,,,,,
127,1,,2,,,,,
128,,,,,,,,0^0^2
143,,2^(rand^rand),,,,,,
145,1,,2,,,,,
147,1,2^(rand^rand),,,,,,
149,1,,2,,,,,
151,1,2^(rand^rand),,,,,,
153,1,,2,,,,,
155,1,2^(rand^rand),,,,,,
157,1,,2,,,,,
159,1,2^(rand^rand),,,,,,
161,1,,2,,,,,
163,1,2^(rand^rand),,,,,,
165,1,,2,,,,,
167,1,2^(rand^rand),,,,,,
169,1,,2,,,,,
171,1,2^(rand^rand),,,,,,
173,1,,2,,,,,
191,,2^(rand^rand),,,,,,
193,1,2^(rand^rand),2,,,,,
195,1,2^(rand^rand),2,,,,,
197,1,2^(rand^rand),2,,,,,
199,1,2^(rand^rand),2,,,,,
201,1,2^(rand^rand),2,,,,,
203,1,2^(rand^rand),2,,,,,
205,1,2^(rand^rand),2,,,,,
207,1,2^(rand^rand),2,,,,,
209,1,2^(rand^rand),2,,,,,
211,1,2^(rand^rand),2,,,,,
213,1,2^(rand^rand),2,,,,,
215,1,2^(rand^rand),2,,,,,
217,1,2^(rand^rand),2,,,,,
219,1,2^(rand^rand),2,,,,,
221,1,2^(rand^rand),2,,,,,
223,1,2^(rand^rand),2,,,,,
225,1,2^(rand^rand),2,,,,,
227,1,2^(rand^rand),2,,,,,
229,1,2^(rand^rand),2,,,,,
231,1,2^(rand^rand),2,,,,,
233,1,2^(rand^rand),2,,,,,
235,1,2^(rand^rand),2,,,,,
237,1,2^(rand^rand),2,,,,,
239,1,2^(rand^rand),2,,,,,
241,1,2^(rand^rand),2,,,,,
243,1,2^(rand^rand),2,,,,,
245,1,2^(rand^rand),2,,,,,
247,1,2^(rand^rand),2,,,,,
249,1,2^(rand^rand),2,,,,,
251,1,2^(rand^rand),2,,,,,
253,1,2^(rand^rand),2,,,,,
255,1,,2,,,,,
